"","Lon1","Lat1","Centroid_ID","rn","nearest_in_grid2","nearest_in_grid3","nearest_in_grid4"
"393",-78.90625,39.8125,393,393,113,8,4
"394",-78.90625,39.72916667,394,394,114,8,4
"395",-78.84375,39.8125,395,395,115,8,4
"396",-78.84375,39.77083333,396,396,115,8,4
"397",-78.96875,39.72916667,397,397,114,8,4
"398",-78.78125,39.77083333,398,398,115,8,4
"399",-78.96875,39.77083333,399,399,113,8,4
"400",-78.78125,39.72916667,400,400,116,8,4
"401",-78.78125,39.8125,401,401,115,8,4
"402",-78.96875,39.8125,402,402,113,8,4
"403",-78.84375,39.72916667,403,403,116,8,4
"404",-78.90625,39.97916667,404,404,117,8,4
"405",-78.90625,39.85416667,405,405,106,8,4
"406",-78.96875,39.89583333,406,406,106,8,4
"407",-78.90625,39.9375,407,407,117,8,4
"408",-78.96875,39.97916667,408,408,117,8,4
"409",-78.96875,39.9375,409,409,117,8,4
"410",-79.03125,39.8125,410,410,118,9,5
"411",-79.09375,39.8125,411,411,118,9,5
"412",-79.03125,39.72916667,412,412,119,9,5
"413",-79.09375,39.77083333,413,413,118,9,5
"414",-79.15625,39.8125,414,414,120,9,5
"415",-79.21875,39.77083333,415,415,120,9,5
"416",-79.21875,39.8125,416,416,120,9,5
"417",-79.09375,39.72916667,417,417,119,9,5
"418",-79.40625,39.77083333,418,418,121,9,5
"419",-79.34375,39.77083333,419,419,122,9,5
"420",-79.28125,39.8125,420,420,122,9,5
"421",-79.40625,39.8125,421,421,121,9,5
"422",-79.34375,39.72916667,422,422,123,9,5
"423",-79.46875,39.8125,423,423,121,9,5
"424",-79.46875,39.77083333,424,424,121,9,5
"425",-79.28125,39.72916667,425,425,123,9,5
"426",-79.15625,39.77083333,426,426,120,9,5
"427",-79.15625,39.72916667,427,427,124,9,5
"428",-79.21875,39.72916667,428,428,124,9,5
"429",-79.28125,39.77083333,429,429,122,9,5
"430",-79.34375,39.8125,430,430,122,9,5
"431",-79.28125,39.85416667,431,431,125,9,5
"432",-79.40625,39.85416667,432,432,126,9,5
"433",-79.40625,39.89583333,433,433,126,9,5
"434",-79.34375,39.85416667,434,434,125,9,5
"435",-79.46875,39.85416667,435,435,126,9,5
"436",-79.46875,39.89583333,436,436,126,9,5
"437",-79.03125,39.89583333,437,437,127,9,5
"438",-79.21875,39.89583333,438,438,128,9,5
"439",-79.40625,39.72916667,439,439,129,9,5
"440",-79.46875,39.72916667,440,440,129,9,5
"441",-79.40625,39.9375,441,441,130,9,5
"442",-79.46875,39.97916667,442,442,130,9,5
"443",-79.40625,39.97916667,443,443,130,9,5
"444",-79.03125,39.77083333,444,444,118,9,5
"445",-79.09375,39.85416667,445,445,127,9,5
"446",-79.21875,39.85416667,446,446,128,9,5
"447",-79.03125,39.85416667,447,447,127,9,5
"448",-79.09375,39.89583333,448,448,127,9,5
"449",-79.15625,39.85416667,449,449,128,9,5
"450",-79.34375,39.9375,450,450,131,9,5
"451",-79.34375,39.97916667,451,451,131,9,5
"452",-79.15625,39.89583333,452,452,128,9,5
"453",-79.15625,39.97916667,453,453,132,9,5
"454",-79.09375,39.97916667,454,454,133,9,5
"455",-79.09375,39.9375,455,455,133,9,5
