"","BBA_ID","Lat1","Lon1","Forest1","Elev1","Lat2","Lon2","Forest2","Elev2","Lat3","Lon3","Forest3","Elev3","Lat4","Lon4","Forest4","Elev4","Centroid_ID","nearest_block_BBA_ID","Cell","eLists","eHours","eKM","eHA","eNumObs","eCount","total.eLists","total.eHours","total.eNumObs","total.eCount"
"85","90A14",39.9375,-77.90625,0.215932135,239.2766698,39.95833333,-77.9375,0.496608477,346.7426718,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,85,85,4515,7,1.1,4.828,0,7,0,5.75,0.675,5.75,0
"86","89C72",39.72916667,-78.03125,0.377254849,180.4033661,39.70833333,-78.0625,0.562136751,193.800649,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,86,86,4925,5,0.5,0,0,5,0,4,0.4,4,0
"87","89A76",39.89583333,-78.03125,0.11123935,338.1681232,39.875,-78.0625,0.499174384,276.5154552,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,87,87,4603,0,0,0,0,0,0,0,0,0,0
"88","89A73",39.9375,-78.09375,0.571069524,296.8276291,39.95833333,-78.0625,0.465131459,323.5255332,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,88,88,4514,0,0,0,0,0,0,0.25,0.125,0.25,0
"89","89A63",39.9375,-78.21875,0.918287674,387.6817084,39.95833333,-78.1875,0.62136863,417.0331845,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,89,89,4510,0,0,0,0,0,0,3.75,0.375,3.75,0
"90","89B62",39.85416667,-78.15625,0.760656183,236.4154701,39.875,-78.1875,0.532104855,350.5929162,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,90,90,4685,0,0,0,0,0,0,3.75,0.375,3.75,0
"91","89A53",39.9375,-78.34375,0.961731749,389.3342934,39.95833333,-78.3125,0.716860487,386.9506617,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,91,91,4506,0,0,0,0,0,0,0,0,0,0
"92","88A43",39.9375,-78.46875,0.023847454,379.7680931,39.95833333,-78.4375,0.314901815,377.3309383,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,92,92,4502,8,0.8,0,0,8,0,4,0.4,4,0
"93","89B51",39.85416667,-78.34375,0.188291623,361.2274284,39.875,-78.3125,0.491282928,391.4218667,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,93,93,4679,0,0,0,0,0,0,3.5,0.35,3.5,0
"94","88B41",39.85416667,-78.46875,0.227939678,394.2835236,39.875,-78.4375,0.381931072,430.726854,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,94,94,4675,0,0,0,0,0,0,2.75,0.275,2.75,0
"95","89B54",39.8125,-78.28125,0.843910224,326.0801799,39.79166667,-78.3125,0.532715695,338.9377156,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,95,95,4762,7,0.77,9.656,0,7,0,5.25,0.5425,5.25,0
"96","89B46",39.77083333,-78.40625,0.492430414,305.3440361,39.79166667,-78.4375,0.414050467,361.949785,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,96,96,4836,9,0.9,0,0,9,0,4,0.4,4,0
"97","89B64",39.8125,-78.15625,0.902141815,215.9342556,39.79166667,-78.1875,0.543896019,233.8427229,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,97,97,4766,8,0.8,0,0,8,0,8,0.8,8,0
"98","89C51",39.72916667,-78.34375,0.572938617,272.3112437,39.70833333,-78.3125,0.308658708,368.5103124,39.83333333,-78.25,0.506346316,331.9756068,39.66666667,-78.5,0.49641867,423.1368789,98,98,4915,3,0.3,0,0,3,0,2,0.2,2,0
